,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
1591,53.7187487,91.47503019999999,90,14,53,35,142,21,2039,2,4,3,2,1,2,25,0,11
1594,53.7025765,91.40341869999999,84,27,116,31,318,24,1156,2,1,3,2,1,0,72,1,23
1599,53.72522859999999,91.4447036,245,47,223,110,831,55,1843,4,18,19,9,6,12,77,24,47
1603,53.716313,91.4097298,61,17,46,49,402,17,1641,0,0,8,8,1,0,15,1,5
1606,53.71534519999999,91.40789219999999,56,17,51,39,445,15,1561,0,0,8,7,1,0,19,1,5
1608,53.72157199999999,91.4589563,93,36,127,83,525,28,2188,2,7,15,10,9,6,42,5,28
1610,53.71559080000001,91.4313576,149,28,119,95,539,30,2008,11,6,9,10,3,1,41,11,34
1613,53.7300609,91.4419844,192,50,220,113,682,49,1582,3,15,20,11,7,7,88,24,35
1614,53.7444897,91.4295106,103,32,144,75,880,32,665,1,12,4,13,4,4,59,7,36
1615,53.6988298,91.40505970000001,79,27,112,35,306,22,1814,2,1,2,3,1,0,67,1,23
1616,53.729412,91.43257899999999,187,36,231,122,825,26,1365,8,16,13,13,6,7,114,16,45
1619,53.7261271,91.44252619999999,261,44,238,117,863,57,1704,3,15,15,10,6,6,91,25,44
1622,53.73178,91.42802239999999,135,31,187,110,679,35,1162,2,12,7,7,4,6,102,8,31
1623,53.714866,91.417232,82,27,76,79,448,9,2596,0,0,5,4,2,0,41,1,11
1626,53.7276769,91.42463699999999,132,39,203,100,464,37,1305,3,2,9,5,3,0,132,4,33
1628,53.71804330000001,91.4740806,90,18,55,36,159,21,2177,2,4,3,1,2,2,25,0,13
1629,53.7240252,91.4263466,180,45,188,119,489,43,1443,10,4,10,8,3,2,112,5,31
1632,53.7260558,91.45547069999999,92,29,141,111,541,30,2144,3,7,19,10,10,6,46,10,21
1633,53.71464539999999,91.414638,77,16,43,54,476,10,2348,0,0,8,5,1,0,13,2,9
1635,53.7428603,91.4241352,119,17,128,77,854,43,574,1,12,0,12,4,4,61,5,30
1636,53.7450919,91.4336142,79,29,111,49,659,25,1004,1,8,4,13,3,4,40,4,32
1637,53.7184936,91.4612406,60,41,115,78,435,6,2284,2,7,12,8,9,6,32,5,30
1638,53.7142917,91.46549019999999,76,26,60,44,263,15,2253,1,0,5,4,5,0,14,1,21
1639,53.7222532,91.4586866,98,34,131,82,522,32,2186,2,7,15,10,9,6,44,5,26
1644,53.70419,91.40309409999999,85,26,112,26,330,23,1155,2,1,3,5,1,0,69,1,23
1648,53.70093499999999,91.39887929999999,62,21,95,26,296,16,868,2,0,2,3,1,0,56,1,23
1653,53.73860879999999,91.4207677,133,19,134,85,885,43,725,2,7,1,9,2,2,80,6,20
1662,53.739707,91.4237923,150,22,146,91,968,50,784,2,12,2,13,4,4,76,5,29
1668,53.71445019999999,91.4662274,78,24,65,43,253,15,2223,2,4,5,4,5,2,19,1,21
1670,53.7274042,91.42919859999999,174,42,233,118,615,35,1331,9,8,10,5,5,4,131,12,38
1672,53.7296515,91.44254939999999,204,48,214,113,698,51,1606,3,15,20,11,7,7,87,23,32
1676,53.69678829999999,91.40576949999999,76,26,106,35,298,22,2155,2,1,1,4,1,0,65,1,20
1677,53.71848439999999,91.4535078,113,40,158,105,723,34,2151,2,9,22,7,6,8,46,11,33
1681,53.738322,91.42102500000001,135,19,136,88,886,44,745,2,7,2,9,2,2,80,6,22
1682,53.73029349999999,91.4405505,192,49,230,112,768,37,1544,3,17,21,11,7,9,90,28,41
1694,53.7300161,91.42508579999999,134,24,203,107,451,35,1215,1,3,6,4,2,2,138,3,32
1700,53.7277274,91.4314789,190,39,236,114,714,30,1408,9,11,14,5,5,4,122,16,42
1702,53.7341059,91.4398209,141,49,200,92,600,24,1555,2,17,21,11,6,7,90,12,34
1713,53.7268936,91.4255613,148,40,210,114,478,37,1339,8,4,9,5,4,2,134,5,31
1723,53.71418329999999,91.40641169999999,51,20,53,39,501,15,1458,0,0,8,7,1,0,25,1,2
1728,53.72119439999999,91.42690669999999,163,41,172,114,455,34,1515,9,2,10,7,3,0,96,10,30
1747,53.6976809,91.3982097,61,18,90,25,266,14,1166,2,0,2,3,1,0,54,1,23
1750,53.7159355,91.4273458,131,34,104,105,408,26,2198,9,3,6,8,3,1,50,3,22
1752,53.74623099999999,91.4240303,88,16,92,50,612,34,406,1,8,0,10,3,2,44,4,21
1753,53.71863279999999,91.4237582,123,38,140,112,361,25,1821,9,1,6,7,1,0,82,1,18
1755,53.7182036,91.4502072,133,38,173,105,761,39,1949,3,11,15,8,5,10,53,15,37
1756,53.72519879999999,91.4435482,255,45,230,112,848,57,1774,4,16,15,9,5,10,85,25,47
1759,53.7183994,91.459983,56,44,117,80,470,8,2286,2,7,14,8,9,6,32,5,30
1762,53.7139819,91.4658496,72,24,58,43,251,15,2237,1,2,5,4,4,0,14,1,21
1765,53.7435341,91.4385626,63,30,113,43,524,16,1209,0,9,14,10,5,5,42,6,27
1768,53.738493,91.417959,113,13,134,70,688,36,642,0,7,0,7,1,2,79,7,13
1771,53.7257691,91.448262,202,46,191,125,746,48,2049,5,11,19,5,5,8,68,14,36
1779,53.7326012,91.441183,159,43,193,86,683,31,1512,2,16,17,12,7,9,82,18,36
1784,53.7462714,91.4198454,72,12,77,44,558,24,343,2,6,0,8,0,2,44,5,10
1786,53.7179888,91.4478877,155,41,163,100,769,38,1925,5,14,17,8,4,10,44,18,38
1787,53.74416739999999,91.42874789999999,106,31,141,77,898,36,685,1,12,3,14,4,4,59,7,36
1794,53.6998105,91.39360169999999,41,9,70,9,185,11,534,2,0,2,2,1,0,41,1,17
1804,53.7184797,91.4127594,83,15,64,39,444,16,1649,0,0,7,6,1,0,29,2,11
1806,53.7436168,91.4369771,67,30,110,44,574,18,1156,1,9,9,11,4,5,42,4,27
1810,53.71811719999999,91.4573436,66,43,124,92,594,8,2298,2,5,16,8,7,4,38,5,29
1813,53.7001645,91.39781889999999,59,20,94,24,285,14,816,2,0,2,3,1,0,58,1,21
1815,53.723844,91.436177,242,41,243,128,766,41,1405,12,15,13,13,6,4,105,23,44
1816,53.7290416,91.44237679999999,216,48,232,115,731,52,1608,3,15,22,10,7,7,97,28,35
1820,53.7286315,91.44280169999999,214,48,227,117,727,52,1664,3,14,22,11,6,7,89,28,34
1824,53.725175,91.4421861,278,44,235,124,889,59,1700,5,17,18,10,6,8,85,26,46
1828,53.7190526,91.4359726,214,36,176,97,765,42,1453,12,13,9,13,3,6,54,20,40
1836,53.71666339999999,91.4349919,179,31,133,85,635,37,1527,12,9,8,11,3,3,36,14,35
1838,53.72458169999999,91.4454198,237,46,227,112,820,52,1837,6,17,21,10,7,12,81,22,49
1841,53.7161635,91.4224234,100,36,115,110,350,17,2313,0,1,5,5,1,1,60,1,18
1844,53.7214676,91.4675225,96,29,96,61,354,21,1983,1,4,9,11,6,2,37,1,19
1856,53.700128,91.404067,80,27,114,34,299,22,1486,2,1,2,3,1,0,70,1,23
1859,53.730933,91.4416988,179,46,221,105,695,40,1563,2,17,20,12,7,9,90,23,39
